"CDSID","ortholog","AssociatedFunction"
"LBRM2904_21.1240 (old tag= LbrM.21.1230)","LmjF.21.1000","hypothetical protein, conserved"
"LBRM2904_21.1250 (old tag= LbrM.21.1240)","LmjF.21.1010","epsilon tubulin, putative"
"LBRM2904_21.1260 (old tag= LbrM.21.1250)","LmjF.21.1020","dynein arm light chain, putative"
"LBRM2904_21.1270 (old tag= LbrM.21.1260)","LmjF.21.1030","hypothetical protein, conserved"
"LBRM2904_21.1280 (old tag= LbrM.21.1270)","LmjF.21.1040","kinesin, putative"
"LBRM2904_21.1290 (old tag= LbrM.21.1280)","LmjF.21.1050","60S ribosomal protein L9, putative"
"LBRM2904_21.1300 (old tag= LbrM.21.1290)","LmjF.21.1060,LmjF.21.1070","40S ribosomal protein S23, putative"
"LBRM2904_21.1310 (old tag= LbrM.21.1300)","LmjF.21.1060,LmjF.21.1070","40S ribosomal protein S23, putative"
"LBRM2904_21.1320 (old tag= LbrM.21.1310)","LmjF.21.1080","cell division protein kinase 2"
"LBRM2904_21.1330 (old tag= LbrM.21.1320)","LmjF.21.1090","T-complex protein 1, delta subunit, putative"
"LBRM2904_21.1340 (old tag= -)","-","5S rRNA"
"LBRM2904_21.1350 (old tag= -)","-","tRNA"
"LBRM2904_21.1360 (old tag= -)","-","tRNA"
"LBRM2904_21.1370 (old tag= -)","-","tRNA"
"LBRM2904_21.1380 (old tag= LbrM.30.3810)","LmjF.21.1100","RNA polymerase III transcription factor (TF)IIIC subunit, putative"
"LBRM2904_21.1390 (old tag= LbrM.21.1330)","LmjF.21.1110","IQ calmodulin-binding motif containing protein, putative"
"LBRM2904_21.1400 (old tag= LbrM.21.1340)","LmjF.21.1120","U4/U6 small nuclear ribonuclear protein, putative"
"LBRM2904_21.1410 (old tag= LbrM.21.1350)","LmjF.21.1130","hypothetical protein, conserved"
"LBRM2904_21.1420 (old tag= LbrM.21.2170)","LmjF.21.1140","hypothetical protein, conserved"
"LBRM2904_21.1430 (old tag= LbrM.21.2160)","LmjF.21.1150","hypothetical protein, conserved"
"LBRM2904_21.1440 (old tag= LbrM.21.1360)","LmjF.21.1160","hypothetical protein, conserved"
"LBRM2904_21.1450 (old tag= -)","-","Leucine rich repeat/Leucine Rich repeat/Leucine Rich Repeat, putative"
"LBRM2904_21.1460 (old tag= LbrM.21.1370)","LmjF.21.1170","surface antigen-like protein"
"LBRM2904_21.1470 (old tag= LbrM.21.1380)","LmjF.21.1180","Ribosomal protein L1p/L10e family, putative"
"LBRM2904_21.1480 (old tag= LbrM.21.1390)","LmjF.21.1190","DNA repair and recombination helicase protein PIF6, putative"
"LBRM2904_21.1490 (old tag= LbrM.21.1400)","LmjF.21.1200","hypothetical protein, conserved"
"LBRM2904_21.1500 (old tag= LbrM.21.1410)","LmjF.21.1210","thymidine kinase, putative"
"LBRM2904_21.1510 (old tag= LbrM.21.1420)","LmjF.21.1220","hypothetical protein, conserved"
"LBRM2904_21.1520 (old tag= LbrM.21.1440)","LmjF.21.1240","WD domain, G-beta repeat, putative"
"LBRM2904_21.1530 (old tag= LbrM.21.1450)","LmjF.21.1250","adenylate kinase, putative"
"LBRM2904_21.1540 (old tag= LbrM.21.1460)","LmjF.21.1260","hypothetical protein, conserved"
"LBRM2904_21.1550 (old tag= LbrM.21.1470)","LmjF.21.1270","hypothetical protein, conserved"
"LBRM2904_21.1560 (old tag= LbrM.21.1490)","LmjF.21.1290","vesicle-associated membrane protein, putative"
"LBRM2904_21.1570 (old tag= LbrM.21.1500)","LmjF.34.0610","enoyl-[acyl-carrier-protein] reductase, putative"
"LBRM2904_21.1580 (old tag= LbrM.21.1520)","LmjF.21.1300","RF-1 domain containing protein, putative"
"LBRM2904_21.1590 (old tag= LbrM.21.1530)","LmjF.21.1310","hypothetical protein, conserved"
"LBRM2904_21.1600 (old tag= LbrM.21.1540)","LmjF.21.1320","hypothetical protein, conserved"
"LBRM2904_21.1610 (old tag= LbrM.21.1570)","LmjF.21.1330","RecF/RecN/SMC N terminal domain/SMC proteins Flexible Hinge Domain, putative"
"LBRM2904_21.1620 (old tag= LbrM.21.1580)","LmjF.21.1340","ATP synthase, putative"
"LBRM2904_21.1630 (old tag= LbrM.21.1590)","LmjF.21.1350","PB1 domain containing protein, putative"
"LBRM2904_21.1640 (old tag= LbrM.21.1600)","LmjF.21.1360","hypothetical protein, conserved"
"LBRM2904_21.1650 (old tag= LbrM.21.1610)","LmjF.21.1370","hypothetical protein, conserved"
"LBRM2904_21.1660 (old tag= LbrM.21.2180)","LmjF.21.1390,LmjF.21.1400","palmitoyl acyltransferase 3, putative"
"LBRM2904_21.1670 (old tag= LbrM.21.1560)","LmjF.21.1410","Protein of unknown function (DUF971), putative"
"LBRM2904_21.1680 (old tag= LbrM.21.1550)","LmjF.21.1420","hypothetical protein, conserved"
"LBRM2904_21.1690 (old tag= LbrM.21.1810)","LmjF.21.1430","2-oxoisovalerate dehydrogenase alpha subunit, putative"
"LBRM2904_21.1700 (old tag= LbrM.21.1820)","LmjF.21.1440","Cytochrome b5-like Heme/Steroid binding domain containing protein, putative"
"LBRM2904_21.1710 (old tag= LbrM.21.1830)","LmjF.21.1450","arginine N-methyltransferase, type II, putative"
"LBRM2904_21.1720 (old tag= LbrM.21.1840)","LmjF.21.1460","hypothetical protein, conserved"
"LBRM2904_21.1730 (old tag= LbrM.21.1850)","LmjF.21.1470","hypothetical protein, conserved"
"LBRM2904_21.1740 (old tag= LbrM.21.1620)","LmjF.21.1480","hypothetical protein, conserved"
"LBRM2904_21.1750 (old tag= LbrM.21.1630)","LmjF.21.1490","hypothetical protein, conserved"
"LBRM2904_21.1760 (old tag= LbrM.21.1640)","LmjF.21.1500","hypothetical protein, conserved"
"LBRM2904_21.1770 (old tag= LbrM.21.1650)","LmjF.21.1510","hypothetical protein, conserved"
"LBRM2904_21.1780 (old tag= LbrM.21.1660)","LmjF.21.1520","hypothetical protein, conserved"
"LBRM2904_21.1790 (old tag= LbrM.21.1670)","LmjF.21.1540","Protein of unknown function N-terminal domain (DUF2450)/Sec8 exocyst complex component specific domain containing protein, putative"
"LBRM2904_21.1800 (old tag= LbrM.21.1680)","LmjF.21.1550","40S ribosomal protein S11, putative"
"LBRM2904_21.1810 (old tag= LbrM.21.1690)","LmjF.21.1560","hypothetical protein, conserved"
"LBRM2904_21.1820 (old tag= LbrM.21.1700)","LmjF.21.1552","ATP-dependent RNA helicase SUB2, putative"
"LBRM2904_21.1830 (old tag= LbrM.21.1710)","LmjF.21.1555","LETM1-like protein, putative"
"LBRM2904_21.1840 (old tag= LbrM.21.1720)","LmjF.21.1558","hypothetical protein, conserved"
"LBRM2904_21.1850 (old tag= LbrM.21.1730)","LmjF.21.1561","hypothetical protein, conserved"
"LBRM2904_21.1860 (old tag= LbrM.21.1740)","LmjF.21.1563","choline dehydrogenase, like protein"
"LBRM2904_21.1870 (old tag= LbrM.21.1750)","LmjF.21.1565","NIMA-related kinase, putative"
"LBRM2904_21.1880 (old tag= LbrM.21.1760)","LmjF.21.1566","Microtubule-binding protein MIP-T3, putative"
"LBRM2904_21.1890 (old tag= LbrM.21.1770)","LmjF.21.1568","hypothetical protein, conserved"
"LBRM2904_21.1900 (old tag= LbrM.21.1780)","LmjF.21.1567","Peroxidase, putative"
"LBRM2904_21.1910 (old tag= LbrM.21.1790)","LmjF.21.1569","hypothetical protein, conserved"
"LBRM2904_21.1920 (old tag= LbrM.21.1800)","-","hypothetical protein"
"LBRM2904_21.1930 (old tag= LbrM.21.1860)","LmjF.21.1570,LmjF.21.1580","hypothetical protein, conserved"
"LBRM2904_21.1940 (old tag= LbrM.21.1860)","LmjF.21.1570,LmjF.21.1580","Nodulin-like, putative"
"LBRM2904_21.1950 (old tag= LbrM.21.1870)","LmjF.21.1590","F-box-like, putative"
"LBRM2904_21.1960 (old tag= LbrM.21.1880)","LmjF.21.1600","hypothetical protein, conserved"
"LBRM2904_21.1970 (old tag= LbrM.21.1890)","LmjF.21.1605","hypothetical protein, conserved"
"LBRM2904_21.1980 (old tag= LbrM.21.1900)","LmjF.21.1610","hypothetical protein, conserved"
"LBRM2904_21.1990 (old tag= LbrM.21.1910)","LmjF.21.1620","mitochondrial RNA binding complex 1 subunit, putative"
"LBRM2904_21.2000 (old tag= LbrM.21.1920)","LmjF.21.1630","calcineurin b subunit"
"LBRM2904_21.2010 (old tag= LbrM.21.1930)","LmjF.21.1640","hypothetical protein, conserved"
"LBRM2904_21.2020 (old tag= LbrM.21.1940)","LmjF.21.1650","protein kinase, putative"
"LBRM2904_21.2030 (old tag= LbrM.21.1950)","LmjF.21.1660","mitochondrial structure specific endonuclease I (SSE-1), putative"
"LBRM2904_21.2040 (old tag= LbrM.21.1960)","LmjF.21.1670","hypothetical protein, conserved"
"LBRM2904_21.2050 (old tag= LbrM.21.1970)","LmjF.21.1675","hypothetical protein, conserved"
"LBRM2904_21.2060 (old tag= LbrM.21.1990)","LmjF.21.1680","pumillio protein 3, putative"
"LBRM2904_21.2070 (old tag= LbrM.21.2000)","LmjF.21.1690","Protein of unknown function, DUF607, putative"
"LBRM2904_21.2080 (old tag= LbrM.21.2010)","LmjF.21.1700","proteasome alpha 2 subunit, putative"
"LBRM2904_21.2090 (old tag= LbrM.21.2020)","LmjF.21.1710","cytochrome c oxidase subunit VI, putative"
"LBRM2904_21.2100 (old tag= LbrM.21.2030)","LmjF.21.1720","60S ribosomal protein L32"
"LBRM2904_21.2110 (old tag= LbrM.21.2040)","LmjF.21.1730","hypothetical protein, conserved"
"LBRM2904_21.2120 (old tag= LbrM.21.2050)","LmjF.21.1740","RNA polymerase II, putative"
"LBRM2904_21.2130 (old tag= LbrM.21.2060)","LmjF.21.1750","SET domain containing protein, putative"
"LBRM2904_21.2140 (old tag= LbrM.21.2070)","LmjF.21.1760","centromere/microtubule binding protein cbf5, putative"
"LBRM2904_21.2150 (old tag= LbrM.33.0830)","LmjF.21.1770","ATP synthase F1 subunit gamma protein, putative"
"LBRM2904_21.2160 (old tag= LbrM.33.0840)","LmjF.21.1780","40S ribosomal protein S6, putative"
"LBRM2904_21.2170 (old tag= LbrM.33.0850)","LmjF.21.1790,LmjF.21.1800","vacuolar ATP synthase, putative"
"LBRM2904_21.2180 (old tag= LbrM.33.0860)","LmjF.21.1790,LmjF.21.1800","vacuolar ATP synthase, putative"
"LBRM2904_21.2190 (old tag= LbrM.33.0870)","LmjF.21.1810","GPI transamidase component GAA1, putative"
"LBRM2904_21.2200 (old tag= LbrM.33.0880)","LmjF.21.1820","60S ribosomal protein L37a"
"LBRM2904_21.2210 (old tag= LbrM.33.0890)","LmjF.21.1830","proteasome subunit alpha type-5, putative"
"LBRM2904_21.2220 (old tag= LbrM.33.0900)","LmjF.21.1840","peroxin 14, putative"
"LBRM2904_21.2230 (old tag= LbrM.33.0910)","LmjF.21.1850","hypothetical protein, conserved"
"LBRM2904_21.2240 (old tag= LbrM.33.0911)","LmjF.21.1855","BolA-like protein, putative"
"LBRM2904_21.2250 (old tag= LbrM.33.0930)","LmjF.21.1860","beta tubulin"
"LBRM2904_21.2260 (old tag= LbrM.33.0940)","LmjF.21.1870","histone deacetylase, putative"
"LBRM2904_21.2270 (old tag= -)","-","Ferrochelatase, putative"
"LBRM2904_22.0010 (old tag= LbrM.22.0010)","LmjF.22.0010","CLN3 protein, putative"
"LBRM2904_22.0020 (old tag= LbrM.22.0020)","LmjF.22.0020","hypothetical protein, conserved"
"LBRM2904_22.0030 (old tag= LbrM.22.0030)","LmjF.22.0030","60S ribosomal protein L11 (L5, L16)"
"LBRM2904_22.0040 (old tag= LbrM.22.0040)","LmjF.22.0040","hypothetical protein, conserved"
"LBRM2904_22.0050 (old tag= LbrM.22.0050)","LmjF.22.0050","hypothetical protein, conserved"
"LBRM2904_22.0060 (old tag= LbrM.22.0060)","LmjF.22.0060","transcription factor-like protein"
"LBRM2904_22.0070 (old tag= LbrM.22.0070)","LmjF.22.0070","hypothetical protein, conserved"
"LBRM2904_22.0080 (old tag= LbrM.22.0080)","LmjF.22.0080","heat shock protein DNAJ, putative"
"LBRM2904_22.0090 (old tag= LbrM.22.0090)","LmjF.22.0090","RNA capping enzyme, nuclear"
"LBRM2904_22.0100 (old tag= LbrM.22.0110)","LmjF.22.0110","GMP synthase [glutamine-hydrolysing]"
"LBRM2904_22.0110 (old tag= LbrM.22.0120)","LmjF.22.0120","hypothetical protein, conserved"
"LBRM2904_22.0120 (old tag= LbrM.22.0130)","LmjF.22.0130:pseudogenic_transcript","hypothetical protein"
"LBRM2904_22.0130 (old tag= LbrM.22.0140)","LmjF.22.0140","hypothetical protein, conserved"
"LBRM2904_22.0140 (old tag= LbrM.22.0170)","LmjF.22.0170","hypothetical protein, conserved"
"LBRM2904_22.0150 (old tag= LbrM.22.0180)","LmjF.22.0180","hypothetical protein, conserved"
"LBRM2904_22.0160 (old tag= -)","LmjF.22.0190","hypothetical protein, conserved"
"LBRM2904_22.0170 (old tag= LbrM.22.0200)","LmjF.22.0210","hypothetical protein, conserved"
"LBRM2904_22.0180 (old tag= LbrM.22.0210)","LmjF.22.0220","Domain of unknown function (DUF1736), putative"
"LBRM2904_22.0190 (old tag= LbrM.22.0220)","LmjF.22.0230","amino acid permease, putative"
"LBRM2904_22.0200 (old tag= LbrM.22.0230)","LmjF.22.0240","hypothetical protein, conserved"
"LBRM2904_22.0210 (old tag= LbrM.22.0250)","LmjF.22.0260","Translocon-associated protein (TRAP), alpha subunit, putative"
"LBRM2904_22.0220 (old tag= LbrM.22.0270)","LmjF.22.0280","hypothetical protein, conserved"
"LBRM2904_22.0230 (old tag= LbrM.22.0290)","LmjF.22.0300","hypothetical protein, conserved"
"LBRM2904_22.0240 (old tag= LbrM.22.0300)","LmjF.22.0310","carnitine palmitoyltransferase-like protein"
"LBRM2904_22.0250 (old tag= LbrM.22.0310)","LmjF.22.0320","SEP domain containing protein, putative"
"LBRM2904_22.0260 (old tag= LbrM.22.0320)","LmjF.22.0330","hypothetical protein, conserved"
"LBRM2904_22.0270 (old tag= LbrM.22.0330)","LmjF.22.0350","hypothetical protein, conserved"
"LBRM2904_22.0280 (old tag= LbrM.22.0340)","LmjF.22.0360","hypothetical protein, conserved"
"LBRM2904_22.0290 (old tag= LbrM.22.0350)","LmjF.22.0370","hypothetical protein, conserved"
"LBRM2904_22.0300 (old tag= LbrM.22.0360)","LmjF.22.0380","hypothetical protein, conserved"
"LBRM2904_22.0310 (old tag= LbrM.22.0370)","LmjF.22.0390","DNA primase small subunit, putative"
"LBRM2904_22.0320 (old tag= LbrM.22.0390)","LmjF.22.0410","hypothetical protein, conserved"
"LBRM2904_22.0330 (old tag= LbrM.22.0400)","LmjF.22.0420,LmjF.22.0460","40S ribosomal protein S15, putative"
"LBRM2904_22.0340 (old tag= LbrM.22.0410)","LmjF.22.0440","hypothetical protein, conserved"
"LBRM2904_22.0350 (old tag= -)","LmjF.22.0450","Acetyltransferase (GNAT) family/Acetyltransferase (GNAT) domain containing protein, putative"
"LBRM2904_22.0360 (old tag= LbrM.22.0400)","LmjF.22.0420,LmjF.22.0460","40S ribosomal protein S15, putative"
"LBRM2904_22.0370 (old tag= LbrM.22.0420)","LmjF.22.0470","Putative tRNA binding domain containing protein, putative"
"LBRM2904_22.0380 (old tag= LbrM.22.0430)","LmjF.22.0480","50S ribosome-binding GTPase/Dynamin family, putative"
"LBRM2904_22.0390 (old tag= LbrM.22.0440)","LmjF.22.0490","protein kinase, putative "
"LBRM2904_22.0400 (old tag= LbrM.22.0450)","LmjF.22.0500","TFIIS helical bundle-like domain containing protein, putative"
"LBRM2904_22.0410 (old tag= LbrM.22.0460)","LmjF.22.0510","hypothetical protein, conserved"
"LBRM2904_22.0420 (old tag= LbrM.22.0470)","LmjF.22.0520","Rab-GTPase-TBC domain containing protein, putative"
"LBRM2904_22.0430 (old tag= LbrM.22.0480)","LmjF.22.0530","peptidyl-prolyl cis-trans isomerase, putative"
"LBRM2904_22.0440 (old tag= LbrM.22.0490)","LmjF.22.0540","hypothetical protein, conserved"
"LBRM2904_22.0450 (old tag= LbrM.22.0500)","LmjF.22.0560","kinesin, putative"
"LBRM2904_22.0460 (old tag= LbrM.22.0510)","LmjF.22.0570","proteasome regulatory ATPase subunit 1, putative"
"LBRM2904_22.0470 (old tag= LbrM.22.0520)","LmjF.22.0580","rer1 family-like protein"
"LBRM2904_22.0480 (old tag= LbrM.22.0530)","LmjF.22.0590","Uncharacterised protein family UPF0066, putative"
"LBRM2904_22.0490 (old tag= LbrM.22.0540)","LmjF.22.0600","Acetyltransferase (GNAT) domain/Acetyltransferase (GNAT) family, putative"
"LBRM2904_22.0500 (old tag= LbrM.22.0550)","LmjF.22.0610","ubiquitin-conjugating enzyme-like protein"
"LBRM2904_22.0510 (old tag= LbrM.22.0560)","LmjF.22.0620","proteasome regulatory ATPase subunit 5, putative"
"LBRM2904_22.0520 (old tag= LbrM.22.0580)","LmjF.22.0650","guide RNA associated protein, GAP2, putative"
"LBRM2904_22.0530 (old tag= LbrM.22.0590)","LmjF.22.0660","glucoamylase-like protein"
"LBRM2904_22.0540 (old tag= LbrM.22.0600)","LmjF.22.0670","prefoldin 5-like protein"
"LBRM2904_22.0550 (old tag= LbrM.24.0460)","LmjF.22.0690,LmjF.22.0850","3'a2rel-related protein"
"LBRM2904_22.0560 (old tag= -)","-","hypothetical protein, conserved"
"LBRM2904_22.0570 (old tag= LbrM.22.0630)","LmjF.22.0700,LmjF.22.0840","5'a2rel-related protein"
"LBRM2904_22.0580 (old tag= LbrM.22.0640)","LmjF.22.0710,LmjF.22.0830","hypothetical protein, conserved"
"LBRM2904_22.0590 (old tag= LbrM.22.0680)","LmjF.22.0740","hypothetical protein, conserved"
"LBRM2904_22.0600 (old tag= LbrM.22.0690)","LmjF.22.0750","hypothetical protein, conserved"
"LBRM2904_22.0610 (old tag= LbrM.22.0700)","LmjF.22.0760","hypothetical protein, conserved"
"LBRM2904_22.0620 (old tag= LbrM.22.0710)","LmjF.22.0770","NADH-cytochrome b5 reductase, putative"
"LBRM2904_22.0630 (old tag= LbrM.22.0720)","LmjF.22.0780","NADH-cytochrome b5 reductase, putative"
"LBRM2904_22.0640 (old tag= LbrM.22.0730)","LmjF.22.0790","Translation initiation factor SUI1, putative"
"LBRM2904_22.0650 (old tag= LbrM.22.0740)","LmjF.22.0800","hypothetical protein, conserved"
"LBRM2904_22.0660 (old tag= LbrM.22.0750)","LmjF.22.0810","serine/threonine protein kinase sos2, putative"
"LBRM2904_22.0670 (old tag= -)","-","hypothetical protein, conserved"
"LBRM2904_22.0680 (old tag= LbrM.22.0650)","LmjF.22.0720,LmjF.22.0820","50S ribosome-binding GTPase/Dynamin family, putative"
"LBRM2904_22.0690 (old tag= LbrM.22.0640)","LmjF.22.0710,LmjF.22.0830","hypothetical protein, conserved"
"LBRM2904_22.0700 (old tag= LbrM.22.0630)","LmjF.22.0700,LmjF.22.0840","5'a2rel-related protein"
"LBRM2904_22.0710 (old tag= -)","-","hypothetical protein, conserved"
"LBRM2904_22.0720 (old tag= LbrM.24.0460)","LmjF.22.0690,LmjF.22.0850","3'a2rel-related protein"
"LBRM2904_22.0730 (old tag= LbrM.22.0760)","LmjF.22.0870","Ribosomal protein L22p/L17e, putative"
"LBRM2904_22.0740 (old tag= LbrM.22.0770)","LmjF.22.0880","hypothetical protein, conserved"
"LBRM2904_22.0750 (old tag= LbrM.22.0780)","LmjF.22.0890","hypothetical protein, conserved"
"LBRM2904_22.0760 (old tag= LbrM.22.0790)","LmjF.22.0900","hypothetical protein, conserved"
"LBRM2904_22.0770 (old tag= LbrM.22.0800)","LmjF.22.0910","Prp18 domain containing protein, putative"
"LBRM2904_22.0780 (old tag= LbrM.22.0810)","-","Arrestin (or S-antigen), N-terminal domain containing protein, putative"
"LBRM2904_22.0790 (old tag= LbrM.22.0840)","LmjF.22.0930,LmjF.22.0940","mitochondrial chaperone, putative"
"LBRM2904_22.0800 (old tag= LbrM.22.0850)","LmjF.22.0950","protein kinase, putative"
"LBRM2904_22.0810 (old tag= LbrM.22.0860)","LmjF.22.0960","kinesin, putative"
"LBRM2904_22.0820 (old tag= -)","-","hypothetical protein, conserved"
"LBRM2904_22.0830 (old tag= LbrM.22.0870)","LmjF.22.0970","hypothetical protein, conserved"
"LBRM2904_22.0840 (old tag= LbrM.22.0880)","LmjF.22.0980","hypothetical protein, conserved"
"LBRM2904_22.0850 (old tag= LbrM.22.0890)","LmjF.22.0990","hypothetical protein, conserved"
"LBRM2904_22.0860 (old tag= LbrM.22.0900)","LmjF.22.1000","hypothetical protein, conserved"
"LBRM2904_22.0870 (old tag= LbrM.22.0910)","LmjF.22.1010","UDP-galactose transporter, putative"
"LBRM2904_22.0880 (old tag= LbrM.22.0930)","LmjF.22.1030","Galactose oxidase, central domain/Kelch motif containing protein, putative"
"LBRM2904_22.0890 (old tag= LbrM.22.0940)","LmjF.22.1040","hypothetical protein, conserved"
"LBRM2904_22.0900 (old tag= LbrM.22.0950)","LmjF.22.1050","Sugar (and other) transporter/Major Facilitator Superfamily/Organic Anion Transporter Polypeptide (OATP) family, putative"
"LBRM2904_22.0910 (old tag= LbrM.22.0960)","LmjF.22.1060","small nuclear ribonucleoprotein, putative"
"LBRM2904_22.0920 (old tag= LbrM.22.0970)","LmjF.22.1070","hypothetical protein, conserved"
"LBRM2904_22.0930 (old tag= LbrM.22.0980)","LmjF.22.1080","hypothetical protein, conserved"
"LBRM2904_22.0940 (old tag= LbrM.22.0990)","LmjF.22.1090","CRAL/TRIO domain containing protein, putative"
"LBRM2904_22.0950 (old tag= LbrM.22.1000)","LmjF.22.1100","Zinc finger, C3HC4 type (RING finger) containing protein, putative"
"LBRM2904_22.0960 (old tag= LbrM.22.1010)","LmjF.22.1110","Cytoplasmic dynein 1 heavy chain (DYNC1H1), putative"
"LBRM2904_22.0970 (old tag= LbrM.22.1020)","LmjF.22.1120","Metallo-beta-lactamase superfamily/Beta-lactamase superfamily domain containing protein, putative"
"LBRM2904_22.0980 (old tag= LbrM.22.1030)","LmjF.22.1130","Metallo-beta-lactamase superfamily/Beta-lactamase superfamily domain containing protein, putative"
"LBRM2904_22.0990 (old tag= LbrM.22.1040)","LmjF.22.1140","adaptor complex AP-1 medium subunit, putative"
"LBRM2904_22.1000 (old tag= LbrM.22.1050)","LmjF.22.1150","Protein kinase domain containing protein, putative"
"LBRM2904_22.1010 (old tag= LbrM.22.1060)","LmjF.22.1160","hypothetical protein, conserved"
"LBRM2904_22.1020 (old tag= LbrM.22.1070)","LmjF.22.1170","Protein tyrosine kinase/Protein kinase domain containing protein, putative"
"LBRM2904_22.1030 (old tag= LbrM.22.1080)","LmjF.22.1200","ChaC-like protein, putative"
"LBRM2904_22.1040 (old tag= LbrM.22.1090)","LmjF.22.1210","WD domain, G-beta repeat, putative"
"LBRM2904_22.1050 (old tag= LbrM.22.1100)","LmjF.22.1220","hypothetical protein, conserved"
"LBRM2904_22.1060 (old tag= LbrM.22.1110)","LmjF.22.1230","hypothetical protein, conserved"
"LBRM2904_22.1070 (old tag= LbrM.22.1120)","LmjF.22.1240","translation initiation factor IF-2, putative"
"LBRM2904_22.1080 (old tag= LbrM.22.1130)","LmjF.22.1250","WD domain, G-beta repeat, putative"
"LBRM2904_22.1090 (old tag= LbrM.22.1140)","LmjF.22.1260","hypothetical protein, conserved"
"LBRM2904_22.1100 (old tag= LbrM.22.1150)","LmjF.22.1270","MORN repeat, putative"
"LBRM2904_22.1110 (old tag= LbrM.22.1170)","LmjF.22.1290","ribonucleoside-diphosphate reductase small chain, putative"
"LBRM2904_22.1120 (old tag= LbrM.22.1180)","LmjF.22.1300","ATG12/APG12, putative"
"LBRM2904_22.1130 (old tag= LbrM.22.1190)","LmjF.22.1310","hypothetical protein, conserved"
"LBRM2904_22.1140 (old tag= -)","-","hypothetical protein"
"LBRM2904_22.1150 (old tag= LbrM.22.1200)","-","hypothetical protein, conserved"
"LBRM2904_22.1160 (old tag= -)","-","hypothetical protein, conserved"
"LBRM2904_22.1170 (old tag= LbrM.22.1205)","LmjF.22.1320","hypothetical protein, conserved"
"LBRM2904_22.1180 (old tag= LbrM.22.1210)","LmjF.22.1330","hypothetical protein, conserved"
"LBRM2904_22.1190 (old tag= LbrM.22.1220)","LmjF.22.1340","Putative S-adenosyl-L-methionine-dependent methyltransferase, putative"
"LBRM2904_22.1200 (old tag= LbrM.22.1230)","LmjF.22.1350","palmitoyl acyltransferase 11, putative"
"LBRM2904_22.1210 (old tag= LbrM.22.1240)","LmjF.22.1360","farnesyl pyrophosphate synthase"
"LBRM2904_22.1220 (old tag= LbrM.22.1250)","LmjF.22.1370","intraflagellar transport protein-like protein"
"LBRM2904_22.1230 (old tag= LbrM.22.1260)","LmjF.22.1380","mak-16-like RNA binding protein, putative"
"LBRM2904_22.1240 (old tag= LbrM.22.1270)","LmjF.22.1390","hypothetical protein, conserved"
"LBRM2904_22.1250 (old tag= LbrM.22.1280)","LmjF.22.1400","MORN repeat, putative"
"LBRM2904_22.1260 (old tag= LbrM.22.1290)","LmjF.22.1410","centrin-4, putative"
"LBRM2904_22.1270 (old tag= LbrM.22.1300)","LmjF.22.1420","aquaporin, putative"
"LBRM2904_22.1280 (old tag= LbrM.22.1310)","LmjF.22.1430","fk506-binding protein 1-like protein"
"LBRM2904_22.1290 (old tag= LbrM.22.1320)","LmjF.22.1440","hypothetical protein, conserved"
"LBRM2904_22.1300 (old tag= LbrM.22.1330)","LmjF.22.1450","cyclophilin 6, putative"
"LBRM2904_22.1310 (old tag= LbrM.22.1340)","LmjF.22.1460","i/6 autoantigen-like protein"
"LBRM2904_22.1320 (old tag= LbrM.22.1350)","LmjF.22.1470","hypothetical protein, conserved"
"LBRM2904_22.1330 (old tag= LbrM.22.1360)","LmjF.22.1480","Mitochondrial glycoprotein, putative"
"LBRM2904_22.1340 (old tag= LbrM.22.1380)","-","hypothetical protein"
"LBRM2904_22.1350 (old tag= LbrM.22.1390)","LmjF.22.1490","Serine-threonin protein phosphatase, putative"
"LBRM2904_22.1360 (old tag= LbrM.22.1400)","LmjF.22.1500","ATP-dependent DEAD/H RNA helicase, putative"
"LBRM2904_22.1370 (old tag= -)","LmjF.22.1510","hypothetical protein, conserved"
"LBRM2904_22.1380 (old tag= LbrM.22.1420)","LmjF.22.1520,LmjF.22.1560","60S ribosomal protein L14, putative"
"LBRM2904_22.1390 (old tag= LbrM.22.1430)","LmjF.22.1530","dephospho-CoA kinase, putative"
"LBRM2904_22.1400 (old tag= LbrM.22.1440)","LmjF.22.1540","alanyl-tRNA synthetase, putative"
"LBRM2904_22.1410 (old tag= LbrM.22.1450)","LmjF.22.1550","hypothetical protein, conserved"
"LBRM2904_22.1420 (old tag= LbrM.22.1460)","LmjF.22.1520,LmjF.22.1560","60S ribosomal protein L14, putative"
"LBRM2904_22.1430 (old tag= LbrM.22.1470)","-","hypothetical protein"
"LBRM2904_22.1440 (old tag= LbrM.22.1480)","LmjF.22.1570","hypothetical protein, conserved"
"LBRM2904_22.1450 (old tag= LbrM.22.1490)","LmjF.22.1580","exosome complex exonuclease RRP45 homolog, putative"
"LBRM2904_22.1460 (old tag= LbrM.22.1500)","LmjF.22.1590","hypothetical protein, conserved"
"LBRM2904_22.1470 (old tag= LbrM.22.1510)","LmjF.22.1600","ser/thr protein phosphatase, putative"
"LBRM2904_22.1480 (old tag= LbrM.22.1520)","LmjF.22.1610","hypothetical protein, conserved"
"LBRM2904_22.1490 (old tag= LbrM.22.1530)","LmjF.22.1620","hypothetical protein, conserved"
"LBRM2904_22.1500 (old tag= LbrM.22.1540)","LmjF.22.1630","CCR4 associated factor, putative"
